,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
8,2205,CLARINDA,19.3684945396,230898.31,78.2440901389,51632,Page,14770.33,5.0051948492,14895.26,5.04752965097,2015-01-06,2015-12-28
17,2367,SHENANDOAH,16.7153322891,65149.11,114.296684211,51601,Page,2590.96,4.54554385965,4468.54,7.83954385965,2015-01-06,2015-06-09
22,2460,HAMPTON,17.3580079412,301694.4,94.6047036689,50441,Franklin,16338.42,5.1233678269,23715.58,7.43668234556,2015-01-05,2015-12-26
26,2487,ANAMOSA,16.0751024515,293643.02,69.9649797474,52205,Jones,19475.0,4.64021920419,25035.84,5.96517512509,2015-01-05,2015-11-02
97,2599,CORALVILLE,20.7706877666,76623.64,185.529394673,52241,Johnson,2389.0,5.78450363196,4557.35,11.0347457627,2015-01-05,2015-01-14
176,2951,CLIVE,14.8674025974,14101.04,106.826060606,50322,Polk,588.96,4.46181818182,1170.75,8.86931818182,2015-01-08,2015-01-29
177,2953,DES MOINES,13.7478331833,49231.37,86.6749471831,50316,Polk,2193.75,3.86223591549,4310.78,7.58940140845,2015-01-08,2015-03-26
178,2954,DES MOINES,16.9848218867,101925.63,92.4076427924,50300,Polk,5600.39,5.07741613781,7566.8,6.86019945603,2015-01-06,2015-03-26
179,2955,DES MOINES,14.5026566752,51218.82,91.4621785714,50310,Polk,2483.98,4.43567857143,4341.23,7.75219642857,2015-01-08,2015-03-26
180,2956,DES MOINES,12.8528037383,22261.17,104.024158879,50300,Polk,1002.89,4.68640186916,1947.25,9.09929906542,2015-01-08,2015-03-25
181,2958,DES MOINES,13.1660865361,16843.33,85.4991370558,50317,Polk,769.86,3.90791878173,1534.35,7.7885786802,2015-01-05,2015-02-05
182,2959,DES MOINES,15.4087673586,89798.11,90.6136326942,50310,Polk,4576.64,4.61820383451,7534.0,7.60242179617,2015-01-05,2015-03-25
183,2961,WEST DES MOINES,16.0798845599,9465.56,95.6117171717,50265,Polk,514.65,5.19848484848,722.75,7.30050505051,2015-01-08,2015-01-29
184,2962,JOHNSTON,17.4712248299,56100.01,80.1428714286,50131,Polk,3794.04,5.42005714286,4043.72,5.77674285714,2015-01-05,2015-03-26
185,2963,CLIVE,16.9850799536,42290.17,89.5978177966,50325,Polk,2467.13,5.22697033898,3093.85,6.55476694915,2015-01-05,2015-03-19
201,3437,NORWALK,12.883125586,188106.57,125.320832778,50211,Warren,6305.8,4.20106595603,16217.31,10.8043371086,2015-01-08,2015-12-30
202,3440,DES MOINES,15.4223505226,8853.95,34.3176356589,50309,Polk,694.69,2.69259689922,845.32,3.27643410853,2015-01-08,2015-04-08
205,3451,DEWITT,14.0212517821,21651.03,129.646886228,52742,Clinton,755.4,4.52335329341,2122.5,12.7095808383,2015-01-08,2015-02-26
219,3529,CHEROKEE,16.8153209886,53513.92,42.3034940711,51012,Cherokee,6598.72,5.21637944664,3942.69,3.11675098814,2015-01-06,2015-04-14
231,3591,ACKLEY,13.3081451383,28510.31,85.3602095808,50601,Webster,1507.42,4.51323353293,2556.25,7.65344311377,2015-01-26,2015-12-26
244,3631,AUDUBON,14.7225523994,84456.71,72.1235781383,50025,Audubon,5152.64,4.40020495303,7439.34,6.35298035867,2015-01-05,2015-08-24
266,3682,WESLEY,17.049515293,232225.78,178.635215385,50483,Kossuth,8069.12,6.20701538462,16798.36,12.9218153846,2015-01-07,2015-12-29
270,3692,MT VERNON,20.1609781011,133347.95,205.783873457,52314,Linn,3995.78,6.16632716049,10021.09,15.4646450617,2015-01-08,2015-01-29
300,3761,LENOX,15.7303925148,14979.63,47.8582428115,50851,Taylor,1390.15,4.44137380192,1129.25,3.60782747604,2015-01-06,2015-03-24
330,3826,OSCEOLA,17.9623047619,27024.24,216.19392,50213,Clarke,876.78,7.01424,1591.5,12.732,2015-01-08,2015-12-10
345,3864,SCHALLER,14.7747988188,8385.04,65.0003100775,51053,Sac,672.02,5.20945736434,686.0,5.31782945736,2015-01-13,2015-09-02
377,3925,NORTH LIBERTY,19.7248764316,63846.81,101.023433544,52317,Iowa,3470.3,5.49098101266,4228.46,6.69060126582,2015-01-07,2015-02-25
395,3969,GREENFIELD,19.9028375061,10467.73,107.914742268,50849,Adair,565.41,5.82896907216,795.65,8.20257731959,2015-01-06,2015-04-21
396,3970,NEVADA,18.6249640833,98397.96,72.5648672566,50201,Story,6951.53,5.12649705015,6625.81,4.88629056047,2015-01-07,2015-12-29
415,4012,DES MOINES,22.4163530236,24109.77,102.160042373,50316,Polk,877.73,3.71919491525,1232.19,5.2211440678,2015-01-07,2015-04-01
427,4030,LAKE PARK,13.2085176651,7047.64,56.8358064516,51347,Dickinson,531.24,4.28419354839,710.25,5.72782258065,2015-01-06,2015-03-17
433,4059,BELLE PLAINE,12.799531746,1813.33,30.2221666667,52208,Benton,219.65,3.66083333333,177.11,2.95183333333,2015-01-06,2015-01-13
439,4071,KELLOG,16.0581667389,11180.02,56.7513705584,50136,Jasper,918.36,4.66172588832,923.06,4.68558375635,2015-01-08,2015-05-14
445,4085,WATERLOO,20.4474236695,18593.56,109.373882353,50703,Black Hawk,478.19,2.81288235294,1089.2,6.40705882353,2015-01-08,2015-02-26
463,4121,WAPELLO,16.15655,2846.31,56.9262,52653,Louisa,201.64,4.0328,217.82,4.3564,2015-01-12,2015-01-12
513,4188,HOLY CROSS,12.5243336151,32310.68,191.187455621,52053,Dubuque,728.39,4.31,2411.5,14.2692307692,2015-01-05,2015-05-18
545,4247,BELMOND,15.1192527739,16932.06,82.1944660194,50421,Wright,1035.74,5.02786407767,1434.87,6.96538834951,2015-12-01,2015-12-29
562,4270,OTTUMWA,16.8881325052,16835.08,146.392,52501,Wapello,500.76,4.35443478261,1112.7,9.67565217391,2015-01-07,2015-06-17
568,4276,LAKE MILLS,16.4589945573,44726.29,63.7126638177,50450,Winnebago,3335.23,4.75103988604,3874.45,5.51915954416,2015-01-08,2015-06-25
574,4288,CEDAR RAPIDS,22.391959821,80608.96,81.5880161943,52404,Linn,4244.68,4.29623481781,3795.88,3.84198380567,2015-02-11,2015-05-27
587,4307,DUNLAP,18.1811457393,136285.99,79.3282828871,712-2,Harrison,9051.43,5.26858556461,9245.39,5.38148428405,2015-01-05,2015-12-26
588,4308,CORALVILLE,22.4862711199,301141.16,126.317600671,52241,Johnson,11835.43,4.96452600671,15809.41,6.63146392617,2015-01-07,2015-12-29
599,4322,BAXTER,15.0152108508,18437.15,37.4738821138,50028,Jasper,2110.67,4.2899796748,1555.3,3.16117886179,2015-01-06,2015-08-18
