,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
143,2658,MOUNT AYR,14.5860896359,45040.61,105.977905882,50854,Ringgold,2021.69,4.75691764706,3592.8,8.45364705882,2015-01-13,2016-03-22
151,2668,LEON,16.4441077134,45146.0,72.1182108626,50144,Decatur,3090.86,4.93747603834,3093.25,4.94129392971,2015-01-15,2016-03-31
153,2670,CORALVILLE,19.6178139415,2399295.16,194.795417715,52241,Johnson,67103.53,5.44804173094,147834.47,12.0024738167,2015-01-16,2016-03-30
154,2671,JEFFERSON,17.3012055602,315575.63,153.789293372,50129,Greene,11268.65,5.49154483431,21837.09,10.6418567251,2015-02-05,2016-03-31
155,2672,WINTERSET,17.844859861,247153.88,127.267703399,50273,Madison,10535.29,5.42496910402,17511.0,9.01699279094,2015-03-03,2016-03-29
158,2836,WATERLOO,13.9811037313,21386.56,53.3330673317,50703,Black Hawk,1866.42,4.65441396509,1937.29,4.83114713217,2015-01-15,2016-03-31
175,2854,URBANDALE,17.337868115,10856.81,50.0313824885,50323,Polk,1204.05,5.54861751152,694.11,3.19866359447,2015-11-12,2016-03-22
191,3065,MONTEZUMA,13.7612664072,73044.72,58.5294230769,50171,Poweshiek,4938.31,3.95697916667,6120.75,4.90444711538,2015-01-15,2016-03-21
196,3393,RICEVILLE,14.4084185234,25889.97,79.1742201835,50466,Mitchell,1579.16,4.82923547401,2289.75,7.00229357798,2015-01-13,2016-03-22
228,3582,LEON,16.4689528669,28384.99,115.857102041,50144,Decatur,1656.98,6.76318367347,1855.47,7.57334693878,2015-01-22,2016-03-31
230,3587,KEOKUK,11.9386351052,41954.34,121.960290698,52632,Lee,1430.05,4.15712209302,3840.0,11.1627906977,2015-01-12,2016-03-21
250,3648,FAIRBANK,15.4780943572,41547.36,55.1025994695,50629,Buchanan,3719.63,4.93319628647,3649.88,4.84068965517,2015-01-13,2016-03-23
263,3677,EVERLY,14.1771075838,8966.63,110.699135802,51338,Clay,395.01,4.87666666667,730.25,9.01543209877,2015-01-20,2016-03-29
305,3772,DES MOINES,22.8893377174,267215.93,205.867434515,50314,Polk,4928.5,3.7969953775,12341.25,9.50789676425,2015-03-11,2016-03-31
328,3822,SWISHER,20.2603962885,48322.13,40.0681011609,52338,Johnson,7584.18,6.28870646766,2847.42,2.36104477612,2015-01-13,2016-03-22
349,3870,ALTOONA,19.0979503106,86672.77,171.290059289,50009,Polk,3120.77,6.16752964427,4834.8,9.55494071146,2015-01-12,2016-03-21
356,3880,COUNCIL BLUFFS,20.2800183333,100033.41,200.06682,51503,Pottawattamie,3198.76,6.39752,5288.1,10.5762,2015-01-27,2016-03-29
397,3972,HUBBARD,12.6602889025,42571.92,63.7304191617,50122,Hardin,2863.1,4.28607784431,4403.99,6.5927994012,2015-01-12,2016-03-21
425,4025,BELLE PLAINE,16.0260181861,70266.11,52.6337902622,52208,Benton,5336.98,3.99773782772,6548.68,4.90537827715,2015-01-13,2016-03-29
464,4125,WAPELLO,14.0739716865,59708.74,48.2689894907,52653,Louisa,4817.0,3.89409862571,5069.72,4.09839935327,2015-01-12,2016-03-28
467,4130,KEOSAUQUA,13.996562137,29039.55,141.656341463,52565,Van Buren,1015.76,4.95492682927,2208.75,10.7743902439,2015-01-12,2016-03-28
482,4149,DENISON,13.3777597507,80901.67,164.769185336,51442,Crawford,2255.73,4.59415478615,7748.4,15.7808553971,2015-01-15,2016-03-24
491,4159,COUNCIL BLUFFS,14.320687197,143331.17,214.56761976,51503,Pottawattamie,3243.59,4.85567365269,11487.75,17.1972305389,2015-01-12,2016-03-28
501,4170,WEST BRANCH,14.2802170282,36471.67,23.156615873,52358,Cedar,6141.89,3.89961269841,3180.23,2.01919365079,2015-01-15,2016-03-24
504,4173,PAULLINA,14.801436006,55408.35,64.2043453071,51046,O'Brien,4642.87,5.3799188876,4871.23,5.64453070684,2015-01-13,2016-03-22
538,4232,MORAVIA,17.2314840058,53825.55,102.720515267,52571,Appanoose,3572.87,6.81845419847,3649.75,6.96517175573,2015-01-21,2016-03-30
570,4279,KEOTA,13.7025254611,21871.71,63.2130346821,52248,Keokuk,1281.05,3.7024566474,2064.1,5.96560693642,2015-01-12,2016-03-21
577,4293,EDDYVILLE,16.5073361355,32072.88,111.364166667,52553,Wapello,1507.61,5.23475694444,2373.4,8.24097222222,2015-01-21,2016-03-30
601,4325,VILLISCA,14.7968382353,12049.18,88.5969117647,50864,Montgomery,606.68,4.46088235294,1081.25,7.95036764706,2015-01-20,2016-03-22
602,4326,STRATFORD,15.4286650896,41380.61,66.8507431341,50249,Hamilton,3314.23,5.35416801292,3564.77,5.75891760905,2015-01-13,2016-03-29
605,4336,GEORGE,15.0952768019,43160.27,47.9026304107,51237,Lyon,4242.62,4.70879023307,3616.55,4.01392896781,2015-01-13,2016-03-29
607,4338,MELBOURNE,14.0793355482,7392.3,171.913953488,50162,Marshall,216.83,5.04255813953,583.5,13.5697674419,2015-02-17,2016-03-29
608,4343,DES MOINES,20.8191005871,70841.02,92.7238481675,50313,Polk,2892.53,3.78603403141,4168.53,5.45619109948,2015-01-15,2016-03-23
614,4353,CLEAR LAKE,17.8928895803,33538.12,78.1774358974,50248,Cerro Gordo,1630.61,3.80095571096,2293.74,5.34671328671,2015-01-29,2016-03-31
616,4356,NEVADA,18.1728043435,29514.09,61.744958159,50201,Story,1871.2,3.91464435146,2157.57,4.51374476987,2015-01-14,2016-03-30
617,4357,STORY CITY,15.5364933526,44033.93,100.995252294,50248,Story,1580.25,3.6244266055,4057.11,9.30529816514,2015-01-20,2016-03-29
618,4358,CLARION,14.5400057605,45077.28,150.760133779,50525,Wright,1195.94,3.9997993311,3684.18,12.3216722408,2015-01-13,2016-03-29
622,4362,POLK CITY,16.5730042823,51404.59,77.6504380665,50226,Polk,2578.06,3.89435045317,3714.25,5.61064954683,2015-01-13,2016-03-29
623,4364,GRINNELL,18.3043642632,23273.28,129.296,50112,Poweshiek,720.65,4.00361111111,1496.9,8.31611111111,2015-02-26,2016-03-31
624,4365,GRINNELL,17.9828735145,31296.1,116.776492537,50112,Poweshiek,1042.43,3.8896641791,2087.58,7.78947761194,2015-01-22,2016-03-24
625,4366,TIFFIN,17.8994309183,45757.04,66.8962573099,52340,Johnson,2655.23,3.88191520468,2970.4,4.34269005848,2015-01-15,2016-03-31
628,4369,NORWALK,17.5968442471,63407.94,82.7779895561,50211,Warren,3411.21,4.4532767624,4516.17,5.89578328982,2015-01-15,2016-03-31
