,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
0,2106,CEDAR FALLS,18.1027209221,337446.81,275.017775061,50613,Black Hawk,6431.88,5.24195599022,22252.45,18.1356560717,2015-01-08,2016-03-31
1,2113,GOWRIE,17.5030103712,21663.33,55.4049360614,50543,Webster,2068.97,5.29148337596,1606.32,4.10823529412,2015-01-07,2016-03-30
2,2130,WATERLOO,16.9112733823,303978.69,294.838690592,50703,Black Hawk,5204.04,5.04756547042,18088.75,17.5448593598,2015-01-08,2016-03-31
4,2178,WAUKON,16.924859434,58749.04,98.4071021776,52172,Allamakee,3086.57,5.17013400335,4596.14,7.69872696817,2015-01-07,2016-03-30
5,2190,DES MOINES,25.9448140424,320989.41,104.014714841,50314,Polk,19763.18,6.40414128321,16281.27,5.27584899546,2015-01-05,2016-03-31
6,2191,KEOKUK,18.7980597255,300110.12,203.879157609,52632,Lee,8390.82,5.70028532609,19091.18,12.9695516304,2015-01-05,2016-03-28
7,2200,SAC CITY,16.2628894427,55121.79,58.7652345416,50583,Sac,5409.4,5.76695095949,4287.56,4.57095948827,2015-01-07,2016-03-30
9,2233,SPIRIT LAKE,20.4856822758,55834.13,116.807803347,51360,Dickinson,2998.67,6.27336820084,4312.13,9.02119246862,2015-01-06,2016-03-29
10,2238,ALTOONA,27.2831111111,3536.14,235.742666667,50009,Polk,124.44,8.296,135.0,9.0,2015-01-06,2016-03-29
12,2285,IOWA CITY,27.4280438682,158089.7,270.701541096,52240,Johnson,4401.99,7.53765410959,7221.2,12.3650684932,2015-01-08,2016-03-31
13,2290,STORM LAKE,18.6896863,123472.77,49.3102116613,50588,Buena Vista,13042.52,5.20867412141,8280.38,3.30686102236,2015-01-07,2016-03-30
14,2327,CORNING,17.0218810429,21834.49,49.2877878104,50841,Adams,2372.38,5.35525959368,1643.87,3.71076749436,2015-01-07,2016-03-30
15,2353,CRESCO,15.062699297,39609.55,110.333008357,52136,Howard,1815.17,5.05618384401,3196.9,8.90501392758,2015-01-06,2016-03-29
18,2448,INDIANOLA,17.1297006252,48335.87,49.7794747683,50125,Warren,4853.88,4.99884654995,3177.52,3.27242018538,2015-01-07,2016-03-29
19,2459,GUTHRIE CENTER,14.5012502547,16299.95,66.2599593496,50115,Guthrie,1069.4,4.34715447154,1361.57,5.53483739837,2015-01-06,2016-03-29
20,2465,DUBUQUE,22.3610905222,51830.14,68.1975526316,52003,Dubuque,4757.07,6.25930263158,3296.05,4.33690789474,2015-01-05,2016-03-28
21,2475,WEST BEND,15.2846456257,30402.43,141.406651163,50597,Kossuth,1213.68,5.64502325581,2772.77,12.8966046512,2015-01-05,2016-03-28
23,2498,ARLINGTON,13.9055477747,6367.76,41.6193464052,50606,Fayette,546.92,3.57464052288,555.31,3.62947712418,2015-01-07,2016-03-29
24,2500,AMES,18.7500617668,325682.73,96.6991478622,50010,Story,16969.8,5.0385391924,21176.96,6.287695962,2015-01-06,2016-03-29
25,2501,AMES,19.374201469,329839.42,113.307942288,50010,Story,15074.34,5.17840604603,22706.37,7.800195809,2015-01-05,2016-03-28
27,2505,BOONE,16.613830697,151268.66,108.203619456,50036,Boone,6536.79,4.67581545064,11470.27,8.20477110157,2015-01-05,2016-03-21
28,2506,BURLINGTON,18.6235518638,311469.7,145.342837144,52601,Des Moines,11510.84,5.37136724218,20697.29,9.65809146057,2015-01-07,2016-03-30
29,2507,BURLINGTON,14.8783621557,61056.75,104.728559177,52601,Des Moines,2382.18,4.08607204117,5058.25,8.67624356775,2015-01-07,2016-03-30
30,2508,CEDAR RAPIDS,26.4624851196,202685.72,140.461344421,52405,Linn,10454.48,7.24496188496,13618.44,9.43758835759,2015-01-07,2016-03-30
31,2509,CEDAR RAPIDS,15.6004853719,123500.48,136.464618785,52404,Linn,4096.04,4.52601104972,10704.64,11.8283314917,2015-01-07,2016-03-30
32,2512,IOWA CITY,20.5006245301,1044699.53,285.983993978,52240,Johnson,23128.59,6.33139611278,69867.09,19.1259485355,2015-01-05,2016-03-28
33,2513,IOWA CITY,16.9683363618,147954.32,89.8871931956,52240,Johnson,7638.03,4.64035844471,10430.84,6.33708383961,2015-01-05,2016-03-28
34,2514,MARION,14.1168916606,61172.32,154.475555556,50129,Linn,1532.42,3.86974747475,6392.58,16.1428787879,2015-01-06,2016-03-29
35,2515,MASON CITY,18.2209454264,259435.83,85.1446767312,50401,Cerro Gordo,16084.88,5.27892353134,19230.64,6.31133574007,2015-01-06,2016-03-29
36,2517,NEWTON,16.7536152437,159537.88,86.2366918919,50208,Jasper,8684.36,4.69424864865,12238.11,6.61519459459,2015-01-05,2016-03-30
37,2518,RED OAK,17.661353029,77830.82,103.223899204,51566,Montgomery,3707.79,4.9174933687,5730.91,7.60067639257,2015-01-07,2016-03-30
38,2521,WEST DES MOINES,19.9665328979,251834.99,128.421718511,50265,Polk,10298.11,5.25145843957,16711.06,8.52170321265,2015-01-05,2016-03-28
39,2522,SPIRIT LAKE,17.9943009962,172585.49,132.452409823,51360,Dickinson,6436.97,4.94011511896,12670.07,9.72376822717,2015-01-08,2016-03-31
40,2523,CENTERVILLE,18.0031504806,91223.95,98.9413774403,52544,Appanoose,4506.44,4.88767895879,6462.7,7.00943600868,2015-01-05,2016-03-28
41,2524,DUBUQUE,18.4465727088,245856.34,139.770517339,52001,Dubuque,9119.93,5.18472427516,17268.93,9.8174701535,2015-01-06,2016-03-29
42,2527,DES MOINES,16.6393731127,114504.3,93.0929268293,50315,Polk,5629.46,4.57679674797,9602.8,7.80715447154,2015-01-05,2016-03-28
43,2528,DES MOINES,18.1282201875,228359.79,161.727896601,50315,Polk,6500.11,4.60347733711,15985.8,11.321388102,2015-01-06,2016-03-29
44,2529,CEDAR RAPIDS,15.0122447648,84821.16,68.3490410959,52405,Linn,4905.58,3.95292506044,8166.36,6.58046736503,2015-01-07,2016-03-30
45,2532,DES MOINES,15.1840445207,114160.45,114.274724725,50317,Polk,4407.63,4.41204204204,9055.92,9.06498498498,2015-01-07,2016-03-29
46,2535,WEST DES MOINES,17.7611851465,123903.83,114.5137061,50265,Polk,5443.96,5.03138632163,9390.41,8.67875231054,2015-01-05,2016-03-28
47,2536,PLEASANT HILL,20.0271539941,158730.84,113.704040115,50317,Polk,7661.51,5.48818767908,11128.81,7.9719269341,2015-01-05,2016-03-28
