,Store Number,City,Mean Retail Price per Liter,Total Sales 2015,Mean Sales 2015,Zip Code,County,Total Gross Profit 2015,Mean Gross Profit 2015,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date,Total Sales Q1 2015,Total Sales Q1 2016,Mean Sales Q1 2015,Mean Sales Q1 2016,Total Gross Profit Q1 2015,Mean Gross Profit Q1 2015,Mean Gross Profit Q1 2016,totalvolQ12015,totalvolQ12016,meanvolQ12015,meanvolQ12016,Category Most Sold,numberdaysopen,Dominant Vendor,sales2015zip,profit2015zip,sales2015county,profit2015county,sales2015city,profit2015city
0,2106,CEDAR FALLS,18.8463414786,1433451.46,281.068913725,50613,Black Hawk,27563.15,5.40453921569,93952.72,18.4221019608,2015-01-08,2016-03-31,337166.53,337446.81,278.190206271,275.017775061,6431.88,5.49381188119,5.24195599022,21815.55,22252.45,17.9996287129,18.1356560717,CANADIAN WHISKIES,448,260,4790705.09,202748.27,14795417.3,516859.32,5058074.65,220364.33
1,2113,GOWRIE,17.6257038491,85763.42,63.0150036738,50543,Webster,7256.62,5.33182953711,6500.83,4.77650991918,2015-01-07,2016-03-30,22351.86,21663.33,66.7219701493,55.4049360614,2068.97,5.32456716418,5.29148337596,1604.08,1606.32,4.78829850746,4.10823529412,CANADIAN WHISKIES,448,260,85763.42,7256.62,2995026.97,102943.32,85763.42,7256.62
2,2130,WATERLOO,17.4974507555,1107685.25,280.639789714,50703,Black Hawk,20308.27,5.14524195592,65546.38,16.6066328857,2015-01-08,2016-03-31,277764.46,303978.69,298.671462366,294.838690592,5204.04,5.20727956989,5.04756547042,16176.37,18088.75,17.3939462366,17.5448593598,VODKA 80 PROOF,448,260,3362183.89,82463.71,14795417.3,516859.32,9392561.98,278135.55
3,2178,WAUKON,16.5944384857,277987.96,104.389019902,52172,Allamakee,13404.61,5.03365001878,21719.49,8.15602328201,2015-01-07,2016-03-30,54411.42,58749.04,100.948831169,98.4071021776,3086.57,4.81187384045,5.17013400335,4376.38,4596.14,8.11944341373,7.69872696817,CANADIAN WHISKIES,448,260,679213.75,34355.69,797396.11,41349.32,679213.75,34355.69
4,2190,DES MOINES,24.2721201832,1226205.17,95.3874111241,50314,Polk,76517.67,5.9523663944,64357.9,5.00644885259,2015-01-05,2016-03-31,255392.25,320989.41,83.2167644184,104.014714841,19763.18,5.51772564353,6.40414128321,14053.73,16281.27,4.57925382861,5.27584899546,VODKA 80 PROOF,451,260,10289008.9,204986.79,56674297.4,1759117.6,31942201.98,805300.56
5,2191,KEOKUK,18.9026640256,1275405.26,229.513273349,52632,Lee,31691.18,5.70292963829,81211.28,14.6142307,2015-01-05,2016-03-28,318985.32,300110.12,224.321603376,203.879157609,8390.82,5.73005625879,5.70028532609,20393.07,19091.18,14.3411181435,12.9695516304,CANADIAN WHISKIES,448,260,2289324.97,68234.15,3508198.61,124952.03,2289324.97,68234.15
6,2200,SAC CITY,17.0451413423,223899.24,57.7059896907,50583,Sac,22620.85,5.83011597938,17291.09,4.45646649485,2015-01-07,2016-03-30,45340.33,55121.79,57.5384898477,58.7652345416,5409.4,5.73831218274,5.76695095949,3393.35,4287.56,4.30628172589,4.57095948827,CANADIAN WHISKIES,448,260,312879.18,27379.81,511117.2,36291.63,312879.18,27379.81
7,2228,WINTERSET,17.7063626529,188879.7,67.0023767293,50273,Madison,14115.95,5.00743171337,15188.97,5.38807023767,2015-01-06,2016-03-29,51031.04,55834.13,70.8764444444,116.807803347,2998.67,4.99661111111,6.27336820084,4213.4,4312.13,5.85194444444,9.02119246862,CANADIAN WHISKIES,448,260,361106.67,19887.83,400470.69,21851.97,361106.67,19887.83
8,2233,SPIRIT LAKE,20.3771728036,316855.05,125.387831421,51360,Dickinson,15493.24,6.13108033241,23620.75,9.34734863474,2015-01-06,2016-03-29,68657.91,3536.14,118.785311419,235.742666667,124.44,5.97043252595,8.296,5115.11,135.0,8.84967128028,9.0,CANADIAN WHISKIES,448,260,2110384.71,67789.66,3725494.03,127806.73,2110384.71,67789.66
9,2248,DES MOINES,27.7891216911,659252.26,143.284559878,50312,Polk,33228.71,7.22206259509,28853.25,6.2710823734,2015-01-08,2016-03-31,121837.56,158089.7,127.445146444,270.701541096,4401.99,6.82071129707,7.53765410959,5604.59,7221.2,5.862541841,12.3650684932,VODKA 80 PROOF,448,260,884836.76,45295.82,56674297.4,1759117.6,31942201.98,805300.56
