,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
0,2106,CEDAR FALLS,18.8463414786,1433451.46,281.068913725,50613,Black Hawk,27563.15,5.40453921569,93952.72,18.4221019608,2015-01-08,2016-03-31
1,2113,GOWRIE,17.6257038491,85763.42,63.0150036738,50543,Webster,7256.62,5.33182953711,6500.83,4.77650991918,2015-01-07,2016-03-30
2,2130,WATERLOO,17.4974507555,1107685.25,280.639789714,50703,Black Hawk,20308.27,5.14524195592,65546.38,16.6066328857,2015-01-08,2016-03-31
4,2178,WAUKON,16.5944384857,277987.96,104.389019902,52172,Allamakee,13404.61,5.03365001878,21719.49,8.15602328201,2015-01-07,2016-03-30
5,2190,DES MOINES,24.2721201832,1226205.17,95.3874111241,50314,Polk,76517.67,5.9523663944,64357.9,5.00644885259,2015-01-05,2016-03-31
6,2191,KEOKUK,18.9026640256,1275405.26,229.513273349,52632,Lee,31691.18,5.70292963829,81211.28,14.6142307,2015-01-05,2016-03-28
7,2200,SAC CITY,17.0451413423,223899.24,57.7059896907,50583,Sac,22620.85,5.83011597938,17291.09,4.45646649485,2015-01-07,2016-03-30
9,2228,WINTERSET,17.7063626529,188879.7,67.0023767293,50273,Madison,14115.95,5.00743171337,15188.97,5.38807023767,2015-01-06,2016-03-29
10,2233,SPIRIT LAKE,20.3771728036,316855.05,125.387831421,51360,Dickinson,15493.24,6.13108033241,23620.75,9.34734863474,2015-01-06,2016-03-29
12,2248,DES MOINES,27.7891216911,659252.26,143.284559878,50312,Polk,33228.71,7.22206259509,28853.25,6.2710823734,2015-01-08,2016-03-31
13,2285,IOWA CITY,26.6675538482,776397.91,259.75172633,52240,Johnson,21587.27,7.22223820676,37063.09,12.3998293744,2015-01-07,2016-03-30
14,2290,STORM LAKE,18.8845384481,549295.9,68.6791572893,50588,Buena Vista,43197.41,5.40102650663,36489.33,4.56230682671,2015-01-07,2016-03-30
15,2327,CORNING,17.7810649363,100596.8,55.9804117974,50841,Adams,9067.57,5.04594880356,7547.62,4.20012242627,2015-01-06,2016-03-29
18,2413,DUBUQUE,17.4645809184,835742.87,186.30023852,52001,Dubuque,24158.11,5.38522291574,54187.11,12.0791596077,2015-01-07,2016-03-29
19,2445,OAKLAND,14.606337447,71682.86,42.6683690476,51560,Pottawattamie,7928.38,4.71927380952,6258.16,3.7250952381,2015-01-06,2016-03-29
20,2448,INDIANOLA,17.3397635063,203038.62,48.0906252961,50125,Warren,21642.85,5.12620795831,13562.32,3.21229748934,2015-01-05,2016-03-28
21,2459,GUTHRIE CENTER,14.5392448115,79026.65,75.2634761905,50115,Guthrie,4616.23,4.39640952381,6605.52,6.29097142857,2015-01-05,2016-03-28
23,2465,DUBUQUE,21.109743671,264728.41,69.3550982447,52003,Dubuque,23039.97,6.03614618811,16704.05,4.37622478386,2015-01-07,2016-03-29
24,2475,WEST BEND,14.6789957046,121763.29,145.475854241,50597,Kossuth,4452.5,5.31959378734,10871.72,12.9889127838,2015-01-06,2016-03-29
25,2478,ALTOONA,23.1293325959,198550.4,219.63539823,50009,Polk,6069.31,6.71383849558,10574.5,11.6974557522,2015-01-05,2016-03-28
27,2498,ARLINGTON,13.0628339185,27453.07,42.1706144393,50606,Fayette,2285.93,3.51141321045,2568.34,3.94522273425,2015-01-05,2016-03-21
28,2500,AMES,18.964689558,1354990.08,108.904523389,50010,Story,63128.56,5.07382735895,91695.75,7.36985613245,2015-01-07,2016-03-30
29,2501,AMES,19.5971989296,1377465.13,108.078864653,50010,Story,66442.5,5.21322087093,93593.02,7.34350882699,2015-01-07,2016-03-30
30,2502,ANKENY,19.9606500622,1372155.78,178.759220948,50021,Polk,42479.61,5.53408155289,94809.66,12.3514408546,2015-01-07,2016-03-30
31,2505,BOONE,17.0386009074,659068.44,110.749191732,50036,Boone,27848.5,4.67963367501,50095.04,8.41791967737,2015-01-07,2016-03-30
32,2506,BURLINGTON,19.520614774,1426370.36,156.79568649,52601,Des Moines,50617.56,5.5642035836,93344.87,10.2610607893,2015-01-05,2016-03-28
33,2507,BURLINGTON,14.4599166734,299207.06,91.8658458704,52601,Des Moines,12672.66,3.89089960086,25483.92,7.82435369972,2015-01-05,2016-03-28
34,2508,CEDAR RAPIDS,18.4849572924,1110614.51,144.011217583,52405,Linn,39509.75,5.12315223029,79674.32,10.3312136929,2015-01-06,2016-03-29
35,2509,CEDAR RAPIDS,15.3241951608,555033.56,142.498988447,52404,Linn,17590.67,4.5162182285,48798.46,12.5284878049,2015-01-06,2016-03-29
36,2512,IOWA CITY,19.5889228115,4151832.63,291.234050926,52240,Johnson,77277.82,5.42072250281,267393.09,18.7565298822,2015-01-05,2016-03-30
37,2513,IOWA CITY,17.0105726858,649600.5,93.5754105445,52240,Johnson,32169.46,4.63403341976,46217.98,6.65773264189,2015-01-07,2016-03-30
38,2514,MARION,13.7771414922,211062.23,105.478375812,50129,Linn,7609.1,3.80264867566,21274.89,10.6321289355,2015-01-05,2016-03-28
39,2515,MASON CITY,18.3547723499,1249511.74,95.4335706102,50401,Cerro Gordo,69041.29,5.27314519209,90730.82,6.92971969755,2015-01-08,2016-03-31
40,2517,NEWTON,17.3445413216,761232.78,87.1374519231,50208,Jasper,42138.14,4.82350503663,57816.37,6.61817422161,2015-01-05,2016-03-28
41,2518,RED OAK,18.8296206451,351097.11,97.526975,51566,Montgomery,18283.98,5.07888333333,25648.0,7.12444444444,2015-01-06,2016-03-29
42,2521,WEST DES MOINES,19.7103936768,1123507.66,143.615960629,50265,Polk,40968.95,5.23698708935,77116.19,9.85762367378,2015-01-05,2016-03-28
43,2522,SPIRIT LAKE,18.143923496,1095085.82,166.073069457,51360,Dickinson,33960.36,5.1501910828,75869.0,11.5057628147,2015-01-06,2016-03-29
44,2523,CENTERVILLE,17.806421342,393293.53,95.4595946602,52544,Appanoose,19694.05,4.7801092233,26001.24,6.31098058252,2015-01-07,2016-03-30
